slice|切片
为什么要用异常处理机制|在程序调用层数较深时，向主函数传递错误信息需要层层return返回比较麻烦
iterator|迭代器
StopIteration|停止迭代异常类型
迭代器的用途|用迭代器可以依次访问可迭代对象的数据
Generator|生成器
什么是生成器|生成器是能够动态提供数据的对象，生成器对象也是可迭代对象（实例）
生成器函数的定义|含有yield语句的函数是生成器函数，此函数被调用将返回一个生成器对象
生成器表达式语法|（表达式 for 变量 in 可迭代对象 [if 真值表达式]）
迭代工具函数zip(iter1 [, iter2[...]])|返回一个zip对象，此对象用于生成元组，此元组的每个数据来源于参数中的可迭代对象，当最小的可迭代对象不再提供数据时迭代结束
迭代工具函数enumerate(iterable [, start])|生成带索引的枚举对象， 返回的迭代类型为索引-值对（index-value），默认索引从零开始，也可用start指定
字节的定义|字节是0~255之间的整数，字节是数据传输和数据存储的基本单位
bytes(字符串, encoding='utf-8')|用字符串的转换编码生成一个字节串
bytes(整数n)|生成n个值为0的字节串
编码（encode）|b = s.encode(encoding='utf-8')
解码（decode）|s = b.decode(encoding='utf-8')
文件中的数据的存储形式|文件中的数据是以字节(byte)为单位进行存储的
文件的迭代读取|文件流对象是可迭代对象，迭代过程将以换行符'\n'作为分隔符依次获取
标准输入文件|sys.stdin 标准输入文件（默认为键盘设备）
标准输出文件|sys.stdout 标准输出文件（默认为屏幕终端）
标准错误输出文件|sys.stderr 标准错误输出文件（默认为屏幕终端）
文件流对象.tell()|返回当前的读写位置（以字节为单位，从1开始）
OSError|文件读取错误异常类型
文件流对象seek()方法|设置文件的读写位置，f.seek(偏移量，whence=相对位置)
编码注释|在源文件的第一行或第二行写入如下内容为编码注释，# -*- coding:utf-8 -*-
数据仓库|是在数据库已经大量存在的情况下，为了进一步挖掘数据资源、为了决策需要而产生的
安装MySQL服务器端|sudo apt-get install mysql-server
安装MySQL客户端|sudo apt-get install mysql-client
status|状态
Linux启动MySQL服务|sudo /etc/init.d/mysql start
Linux 下让MySQL服务不停止的情况下生效修改|sudo /etc/init.d/mysql reload
客户端链接MySQL服务|mysql -h 主机地址 -u 用户名 -p 密码
MySQL:查看所有数据库|show databases;
MySQL:创建库(指定字符集)|create database 库名 character set utf-8;
MySQL:查看创建库的语句|show create database 库名;
MySQL:查看当前所在库|select database();
MySQL:切换库|use 库名;
MySQL:查看库中的表|show tables;
MySQL:删除库|drop database 库名;
MySQL:创建表|create table 表名(字段1 类型1,...); 
MySQL:查看创建表的语句（字符集，存储引擎）|show create table 表名;
MySQL:查看表结构|desc 表名
MySQL:删除表|drop table 表名;
MySQL的根目录|/var/lib/mysql
MySQL:插入(insert)语句|insert into 表名(字段名) values(值1),(值2)....
MySQL:查询(select)语句|select 字段1, 字段2 from 表名 where 条件;
MySQL:char 和 varchar 的特点|1. char 浪费存储空间， 性能高2. varchar 节省存储空间，相对性能低
MySQL:char（宽度）宽度取值范围|（1-255）
MySQL:varchar(宽度) 宽度取值范围|（1-65535）
MySQL:字符类型的宽度和数值类型的宽度的区别|数值类型的宽度为显示宽度， 只用于select查询时显示，和占用存储无关，可用zerofill查看效果
MySQL:枚举类型语法|1. 单选enum：字段名 enum(值1, 值2, ...)2. 多选set：字段名 set(值1, 值2, ...)
MySQL:sql命令运行时间检测|开启：set profiling=1，查看：show profiles, 关闭 set profiling=0
MySQL:索引的优缺点|优：加快速度的索引速度 缺点：需要动态维护，占用系统资源，降低数据维护速度
MySQL:references|参考
cascade|级联
MySQL: date 类型|'YYYY-MM-DD'
MySQL: datetime 类型|'YYYY-MM-DD HH:MM:SS'
MySQL: timestamp 类型|'YYYY-MM-DD HH:MM:SS'
MySQL: time 类型|'HH:MM:SS'
MySQL: datetime 和 timestamp的区别|datetime：不给值默认返回NULL,timestamp: 不给值默认返回系统的当前时间
MySQL日期时间函数: now()|返回服务器当前的时间
MySQL日期时间函数: curdate()|返回当前的日期
MySQL日期时间函数: curtime()|返回当前的时间
MySQL日期时间函数: date('1999-09-09 09:09:09')|从一个现有的日期时间里提取日期 --> 返回 '1999-09-09'
MySQL日期时间函数: time('1999-09-09 09:09:09')|从一个现有的日期时间里提取时间 --> 返回 '09：09：09'
MySQL日期时间函数: year('1999-09-09 09:09:09')|从一个现有的日期时间里提取年份 --> 返回 '1999'
MySQL：日期时间的运算语法|select 字段名 from 表名 where 字段名 运算符(now()-interval 时间间隔单位);
MySQL：时间间隔单位|日期时间的运算，时间间隔单位的表示方式 1 day  或 3 hour 或 1 minitue 或 1 year
interval|间隔
MySQL: 平均值函数|avg()
MySQL: 删除表记录|delete from 表名 where 条件;
MySQL: 更改表记录|update 表名 set 字段1 = 值1, 字段2 = 值2, where 条件;
MySQL: 空值和空字符串的区别|1. null：空值, 只能用is, is not 去匹配 2. '':空字符串, 只能用= != 去匹配
MySQL: 模糊查询(like)|where 字段名 like 表达式 注：_ : 匹配单个字符，% : 匹配0到多个字符
MySQL: 排序|order by 字段名 ASC/DESC
MySQL: 限制显示查询的条数|limit n;  -->显示n条记录，limit m, n; --> 从第m+1条开始显示, n条
MySQL: having语句|对查询的结果进行进一步的筛选
MySQL: where 和 having 的区别|where 关键字只能操作表中实际存在的字段， having 语句可操作由聚合函数生成的显示列
MySQL: 读锁(共享锁)|查询(select): 加读锁之后，别人不能更改表记录，但可以进行查询
MySQL: 写锁(互斥锁， 排他锁)|更新(update): 加写锁之后别人不能查，不能改
MySQL: 行级锁（Innodb）|select : 加读锁，锁1行;update : 加写锁，锁1行
MySQL:表级锁（MyISAM）|select : 加读锁，锁一张表 ; update : 加写锁，锁一张表
engine|引擎
MySQL:查看所有打存储引擎|show engines;
storage|存储
MySQL:查看已有表打存储引擎|show create table 表名;
MySQL:创建表时指定存储引擎|create table 表名(...)engine=MyISAM;
MySQL:更改已有表的存储引擎|alter table 表名 engine=MyISAM;
MySQL:InnoDB存储引擎的特点|1. 支持事务/外键/行级锁2. 共享表空间
MySQL:MyISAM存储引擎的特点|1. 支持表级锁2. 独享表空间(表名.frm,表名.MYD 表记录,表名.MYI 索引信息)
MySQL:Memory存储引擎的特点|1. 数据存储在内存中，速度快2. 服务器重启，MySQL 服务重启后表记录消失
MySQL:如何决定使用哪个存储引擎|1. 执行查询操作多的表，使用MyISAM(使用InnoDB浪费资源);2. 执行写操作多的表，使用InnoDB
MySQL:不显示字段的重复值|select distinct 字段1,字段2 from 表名
MySQL:默认约束（default）|插入记录时, 不给该字段赋值则使用默认值
MySQL:索引定义|对数据库中表的一列或多列的值进行排序的一种结构（Btree）
外键|foreign key
MySQL:数据导入|load data infile '文件名' into table 表名 fields terminated by '分隔符'  lines terminated by '\n';
MySQL:数据导入的步骤|1. 查看搜索路径  show variables like 'secure_file_priv' 2. 拷贝文件 sudo cp ~/scoretable.csv /var/lib/mysql-files 3. 导入sql语句
MySQL:数据导出|select ..from 表名 into outfile "文件名" fileds terminated by '分隔符' lines terminated by '\n'
MySQL:表的复制|create table 表名 select ... from 表名 where 条件;
MySQL:复制表结构|create table 表名 select * from 表名 where false;
MySQL:外键语法格式|create table 表名( 字段1, 类型...,foreign key(参考字段名) references 主表（被参考字段名）on delete 级联动作on update 级联动作;
MySQL:删除外键|alter table 表名 drop foreign key 外键名;
MySQL:外键名的查看方式|show create table 表名;
MySQL:级联动作cascade|数据级联删除，级联更新（参考字段）
MySQL:级联动作restrict(默认)|从表中有相关联记录，不允许主表操作
MySQL:级联动作set null|主表删除\更新时，从表相关联记录字段值为NULL
MySQL:嵌套查询（子查询）|把内层的查询结果作为外层的查询条件
MySQL:连接查询|内连接（inner join）左连接（left join）右连接（right join）
MySQL:内连接（inner join）|select 字段名1,... from 表1 inner join 表2 on 条件 inner join 表3 on 条件;
MySQL:左连接（left join）|select 字段名1... from 表1 left join 表2 on 条件 left join 表3 on 条件;
privileges|特权
grant|授权
identified|身份
slots|槽
MySQL:内连接|只显示匹配到的记录
MySQL:左连接|以左表为主显示查询结果
MySQL:右连接|以右表为主显示查询结果
MySQL:数据备份命令格式|mysqldump -u用户名 -p密码 源库名 > ***.sql
MySQL:数据备份源库名的表示方式|--all-databases 备份所有库;库名备份一个库;-B 库1 库2 库3备份多个库; 库名 表1 表2 备份多张表
MySQL:数据恢复命令格式|mysql -u用户名 -p 目标库名 < ***.sql
MySQL:数据恢复从所有库中恢复某一个库|mysql -u用户名 -p --one-database 库名 < ***.sql
Convert|转换
broadcast|广播
孤儿进程|父进程先于子进程退出， 此时子进程就成为孤儿进程
僵尸进程|子进程先于父进程退出， 父进程没有处理子进程的退出状态， 子进程就会成为僵尸进程
僵尸进程的坏处|僵尸进程会存留少量PCB信息在内存中， 大量的僵尸进程会消耗系统资源，应该避免僵尸进程的产生
进程相关函数：获取进程PID|OS.getpid()获取当前进程的进程号
查看进程树|pstree
进程（process）定义|程序在计算机中的一次运行过程
并发|同时处理多个任务， 但是内核在多个任务间不断的切换，达到好像都在处理运行的效果， 但实际一个时间点内核只能处理一个任务
判断同一个文件夹下是否存在这个文件|os.path.exists(path) 返回值： 存在返回True, 否则返回False
python os模块实现删除文件|os.remove()  os.unlink() 参数： 目标文件
sock获取应用的端口|socket.getbyname('')
deamon|守护
declarative|声明
